pH,Turbidity,Chlorine,Dissolved Oxygen,Temperature,Potability
6.61,3.04,0.99,7.71,0,TRUE
6.73,1.06,0.95,7.1,25,TRUE
7.71,3.52,0.74,7.99,25,TRUE
7.5,4.18,0.53,7.82,25,TRUE
7.18,1.42,0.64,7.57,50,TRUE
8.84,1.39,0.88,7.25,50,TRUE
7.04,3.61,0.65,7.91,25,TRUE
7.89,1.76,0.88,7.97,0,TRUE
6.66,3.73,0.67,7.03,25,TRUE
7.68,2.77,0.72,11.23,50,FALSE
8.4,1.14,0.64,7.04,50,TRUE
7.27,4.68,0.92,7.63,50,TRUE
7.73,1.71,0.61,7.31,50,TRUE
8.17,2.84,0.63,7.44,0,TRUE
8.13,3.08,0.96,7.4,50,TRUE
7.49,2.06,0.72,7.82,0,TRUE
6.22,1.04,0.95,7.96,25,TRUE
7.94,3.8,0.81,7.76,0,TRUE
7.71,2.86,0.73,6.96,25,TRUE
7.63,4.5,0.9,6.83,0,TRUE
6.76,3.09,0.85,7.08,25,TRUE
6.96,3.45,0.52,6.68,0,TRUE
7.25,3.11,7.0,6.86,25,FALSE
7.94,3.66,0.65,6.7,50,TRUE
8.46,4.28,1.0,7.65,50,TRUE
8.27,3.81,0.77,7.61,50,TRUE
7.81,1.17,0.85,7.78,50,TRUE
6.78,4.44,0.79,6.81,0,TRUE
7.46,2.91,0.83,7.48,25,TRUE
7.47,3.43,0.79,7.34,25,TRUE
6.82,2.25,0.89,7.77,25,TRUE
6.19,1.76,0.54,7.5,25,TRUE
7.66,3.51,0.83,6.99,50,TRUE
6.46,4.32,0.56,6.84,25,TRUE
7.66,1.15,0.89,6.78,50,TRUE
7.98,3.86,5.73,6.8,50,FALSE
7.38,4.72,0.89,7.94,25,TRUE
6.79,3.56,0.91,7.86,0,TRUE
6.74,1.99,0.93,7.19,25,TRUE
7.69,2.01,0.99,7.03,50,TRUE
7.31,2.2,0.87,7.82,50,TRUE
7.88,4.37,0.72,7.1,50,TRUE
7.66,4.78,0.55,7.04,50,TRUE
7.97,4.87,0.53,7.6,50,TRUE
7.54,4.7,0.87,7.82,50,TRUE
7.35,4.61,0.67,7.11,0,TRUE
7.95,4.09,0.91,7.85,25,TRUE
6.66,2.26,0.92,6.77,0,TRUE
7.9,2.36,0.74,12.38,0,FALSE
7.63,1.19,0.81,7.98,0,TRUE
8.9,1.85,0.6,6.77,50,TRUE
7.03,1.65,0.71,7.19,0,TRUE
8.32,4.67,0.62,6.68,50,TRUE
8.09,3.64,0.63,7.26,0,TRUE
7.02,4.21,0.89,7.32,0,TRUE
8.41,4.32,0.61,7.16,50,TRUE
7.91,2.25,0.51,6.9,50,TRUE
7.19,3.97,0.88,7.36,0,TRUE
6.99,4.8,0.51,6.74,0,TRUE
8.24,4.67,0.98,7.1,50,TRUE
6.86,3.76,0.58,7.32,0,TRUE
7.58,15.23,0.75,7.89,0,FALSE
7.2,1.89,0.63,7.93,25,TRUE
8.86,2.27,0.93,7.96,50,TRUE
7.14,2.05,0.95,7.33,50,TRUE
8.55,3.04,0.84,7.98,50,TRUE
7.47,3.53,0.62,6.59,25,TRUE
6.69,3.74,0.56,7.76,25,TRUE
7.74,3.8,0.7,6.51,0,TRUE
6.9,2.17,0.91,7.82,25,TRUE
8.72,3.59,0.86,7.99,50,TRUE
7.73,4.6,0.72,7.9,25,TRUE
7.88,3.46,0.8,7.21,0,TRUE
8.64,2.64,0.92,6.67,50,TRUE
6.61,2.7,0.87,6.84,25,FALSE
6.93,2.17,0.5,7.84,0,TRUE
7.98,3.9,0.91,6.66,50,TRUE
8.36,3.12,0.99,7.8,50,TRUE
7.66,3.04,0.74,6.61,25,TRUE
8.47,4.79,0.94,7.66,0,TRUE
6.16,4.96,0.77,6.63,25,TRUE
8.15,1.85,0.69,6.76,0,TRUE
6.64,1.1,0.89,7.76,25,TRUE
7.39,3.93,0.82,7.12,0,TRUE
7.38,4.34,0.66,7.58,25,TRUE
7.02,4.32,0.97,6.56,0,TRUE
6.69,2.08,0.58,7.47,25,TRUE
7.73,1.4,18.28,7.11,50,FALSE
6.73,2.07,1.0,7.44,25,TRUE
8.03,4.63,0.86,7.88,50,TRUE
8.08,4.06,0.53,7.9,25,TRUE
7.26,4.51,0.67,7.11,0,TRUE
7.25,1.83,0.9,7.95,50,TRUE
8.52,2.01,0.59,7.98,50,TRUE
7.24,2.2,0.85,7.48,0,TRUE
8.03,4.62,0.99,6.94,50,TRUE
7.18,3.55,0.95,7.09,0,TRUE
8.15,4.59,0.59,6.7,0,TRUE
7.37,1.33,0.56,7.35,0,TRUE
7.9,2.33,0.53,6.81,50,TRUE
6.92,4.85,8.21,7.0,0,FALSE
7.4,4.38,0.69,7.76,50,TRUE
7.17,2.96,0.69,7.36,50,TRUE
7.48,4.94,0.91,6.96,50,TRUE
8.36,3.33,0.67,7.91,0,TRUE
8.1,1.27,0.79,7.42,25,TRUE
7.01,4.84,0.62,7.06,25,TRUE
8.03,3.04,0.5,6.69,50,TRUE
7.49,3.24,0.68,7.69,0,TRUE
8.45,4.94,0.73,7.61,0,TRUE
8.72,4.78,0.63,7.02,50,TRUE
7.73,3.38,0.86,6.9,50,TRUE
7.81,1.12,0.8,7.75,25,TRUE
6.59,2.49,0.72,7.46,0,FALSE
6.7,4.7,0.69,6.51,0,TRUE
8.2,3.09,0.54,7.52,0,TRUE
8.09,4.82,0.95,7.49,0,TRUE
8.42,1.53,0.53,6.84,50,TRUE
7.79,2.25,0.88,7.58,25,TRUE
7.87,1.12,0.76,7.84,50,TRUE
8.14,4.66,0.7,6.58,50,TRUE
6.77,2.02,0.97,7.44,25,TRUE
6.68,3.05,0.98,7.27,25,TRUE
7.05,4.04,0.69,7.78,0,TRUE
7.58,1.52,0.98,6.88,50,TRUE
8.6,3.09,0.54,6.77,50,TRUE
7.24,2.39,0.56,6.77,50,FALSE
8.76,4.45,0.93,7.94,50,TRUE
6.8,3.11,0.62,7.72,0,TRUE
7.36,4.54,0.64,7.18,50,TRUE
7.6,3.57,0.66,6.68,25,TRUE
8.33,4.74,0.54,6.61,0,TRUE
7.45,2.93,0.99,7.0,25,TRUE
8.42,3.43,0.57,6.5,50,TRUE
8.41,3.8,0.54,7.58,50,TRUE
6.77,1.23,0.7,6.9,25,TRUE
6.18,2.54,0.6,6.54,25,TRUE
7.52,1.28,0.76,7.45,0,TRUE
6.98,4.46,0.99,7.93,25,TRUE
10.16,3.12,0.53,7.21,25,FALSE
6.52,1.8,0.55,7.91,0,TRUE
6.94,3.89,0.66,7.8,25,TRUE
8.07,4.64,0.84,7.69,25,TRUE
7.84,1.42,0.79,6.67,0,TRUE
7.42,2.45,0.7,7.23,0,TRUE
7.08,4.48,0.81,7.35,25,TRUE
8.01,2.01,0.89,6.83,25,TRUE
6.31,2.99,0.55,7.72,25,TRUE
7.35,2.98,0.89,7.55,0,TRUE
7.21,3.32,0.77,6.53,50,TRUE
6.18,2.06,0.99,6.69,25,TRUE
7.52,2.89,0.55,7.03,0,TRUE
7.03,3.08,0.64,7.2,0,FALSE
8.02,2.38,0.61,7.61,0,TRUE
6.87,2.89,0.84,6.69,0,TRUE
6.92,3.99,0.83,7.74,0,TRUE
6.4,4.77,0.65,7.59,25,TRUE
7.72,4.55,0.76,6.8,50,TRUE
7.19,1.31,0.86,7.03,50,TRUE
6.47,4.01,0.88,7.69,25,TRUE
7.54,2.94,0.51,7.65,50,TRUE
6.38,2.94,0.94,7.34,25,TRUE
7.92,4.67,0.62,6.94,50,TRUE
7.67,4.34,0.6,6.69,0,TRUE
7.9,4.8,0.85,6.8,50,TRUE
6.88,3.03,0.7,15.3,0,FALSE
7.89,1.69,0.79,7.33,25,TRUE
7.18,4.46,0.74,6.73,25,TRUE
8.0,1.16,0.8,7.31,50,TRUE
7.15,3.61,0.59,7.57,50,TRUE
7.84,4.35,0.96,7.0,50,TRUE
7.39,1.9,0.72,7.71,0,TRUE
7.48,4.2,0.81,7.56,50,TRUE
7.11,4.82,0.96,7.34,25,TRUE
7.68,3.91,0.82,7.34,25,TRUE
7.97,1.21,0.5,6.61,0,TRUE
8.3,4.2,0.86,6.65,0,TRUE
7.04,2.34,0.51,6.98,25,TRUE
10.33,1.74,0.79,6.95,0,FALSE
8.04,2.31,0.71,6.58,25,TRUE
6.58,2.15,1.0,6.74,25,TRUE
6.93,3.42,0.64,6.67,25,TRUE
7.41,1.89,0.7,7.94,0,TRUE
6.46,3.73,0.83,7.52,25,TRUE
6.23,4.46,0.77,7.73,25,TRUE
7.04,2.95,0.52,7.41,0,TRUE
7.94,1.33,0.82,6.69,50,TRUE
7.99,4.9,0.97,7.85,0,TRUE
6.92,4.42,0.59,7.18,25,TRUE
6.14,4.42,0.59,6.93,25,TRUE
7.82,2.43,0.94,7.32,50,TRUE
6.82,14.12,0.72,6.51,0,FALSE
7.71,2.62,0.84,7.64,50,TRUE
8.36,2.63,0.87,7.41,0,TRUE
6.42,1.95,0.87,7.9,25,TRUE
8.58,3.13,0.69,6.82,50,TRUE
8.69,3.77,0.61,6.88,50,TRUE
7.03,4.11,0.5,6.96,50,TRUE
6.57,2.89,0.94,7.33,0,TRUE
8.15,2.54,0.68,7.22,50,TRUE
8.2,1.08,0.92,6.68,0,TRUE
6.34,4.95,0.88,6.9,25,TRUE
7.69,3.42,0.62,7.34,25,TRUE
8.46,2.63,0.66,6.73,50,TRUE
6.7,3.96,0.77,18.15,0,FALSE
6.72,1.63,0.55,7.56,25,TRUE
8.33,2.7,0.71,6.99,0,TRUE
8.61,3.14,1.0,7.36,50,TRUE
7.2,2.43,0.65,6.71,25,TRUE
8.14,4.71,0.95,7.67,0,TRUE
6.4,1.19,0.74,7.11,25,TRUE
7.66,1.63,0.96,7.46,25,TRUE
6.77,1.6,0.79,7.93,0,TRUE
8.27,2.48,0.67,7.04,0,TRUE
7.62,4.8,0.73,6.65,0,TRUE
7.9,2.16,0.72,7.67,0,TRUE
8.81,4.5,0.63,7.87,50,TRUE
7.24,4.9,9.37,6.57,0,FALSE
6.68,4.0,0.6,7.06,25,TRUE
6.77,4.59,0.66,6.7,25,TRUE
7.75,1.29,0.53,7.57,25,TRUE
8.66,3.56,0.89,7.17,50,TRUE
7.85,1.23,0.71,7.6,50,TRUE
7.46,4.03,0.9,7.78,25,TRUE
6.65,3.3,0.65,7.5,25,TRUE
7.36,2.83,0.83,6.91,25,TRUE
8.81,1.34,0.61,7.68,50,TRUE
7.47,2.7,0.71,7.19,50,TRUE
8.06,2.79,0.76,7.24,25,TRUE
7.81,1.52,0.85,7.78,25,TRUE
7.27,2.7,0.89,18.52,25,FALSE
7.83,1.4,0.91,7.19,0,TRUE
6.64,3.3,0.98,7.12,25,TRUE
8.17,4.01,0.71,6.78,0,TRUE
7.28,1.4,0.99,6.75,25,TRUE
6.74,1.62,0.59,6.95,25,TRUE
8.33,2.29,0.72,7.16,0,TRUE
8.54,4.57,0.87,6.82,50,TRUE
7.77,1.8,0.79,7.67,0,TRUE
7.78,4.57,0.82,6.88,0,TRUE
8.49,2.92,0.58,7.39,0,TRUE
6.72,2.42,0.68,6.65,25,TRUE
7.95,1.78,0.66,7.41,25,TRUE
11.24,2.79,0.78,7.41,0,FALSE
7.73,3.68,0.56,7.3,50,TRUE
8.2,3.67,0.99,7.24,50,TRUE
7.15,1.68,0.67,6.85,50,TRUE
6.89,4.38,0.61,7.89,0,TRUE
6.23,1.81,0.78,6.55,25,TRUE
6.72,1.74,0.53,7.89,25,TRUE
8.46,4.53,0.52,7.57,0,TRUE
8.28,1.44,0.68,6.89,50,TRUE
8.48,4.17,0.59,7.44,50,TRUE
8.04,2.49,0.54,7.2,0,TRUE
7.88,4.62,0.88,6.59,50,TRUE
6.51,1.18,0.62,6.61,0,TRUE
7.13,1.12,0.92,17.55,25,FALSE
7.48,4.84,0.77,7.48,25,TRUE
7.52,3.31,0.57,7.78,25,TRUE
6.31,2.05,0.83,6.59,25,TRUE
6.69,1.28,0.93,7.65,0,TRUE
7.94,1.88,0.71,7.19,25,TRUE
6.92,2.01,0.7,6.53,0,TRUE
7.98,1.03,0.83,6.68,50,TRUE
7.45,1.87,0.62,7.73,50,TRUE
7.11,4.61,0.88,7.07,25,TRUE
6.76,1.59,0.72,7.68,0,TRUE
6.16,3.96,0.64,7.69,25,TRUE
7.35,2.0,0.58,7.29,50,TRUE
6.53,4.98,0.96,7.59,50,FALSE
6.63,4.41,0.85,7.2,25,TRUE
7.61,4.4,0.95,6.6,50,TRUE
7.44,4.18,0.78,6.6,50,TRUE
7.5,1.55,0.7,7.93,0,TRUE
7.15,2.19,0.55,7.05,25,TRUE
7.21,4.33,0.99,7.63,0,TRUE
7.47,2.93,1.0,7.21,0,TRUE
8.71,1.93,0.81,6.93,50,TRUE
6.27,2.88,0.63,6.53,25,TRUE
7.78,4.28,0.78,6.66,0,TRUE
7.94,1.64,0.9,6.71,25,TRUE
7.8,1.35,0.9,7.69,25,TRUE
6.59,3.67,0.55,13.47,25,FALSE
7.65,2.17,0.91,7.86,25,TRUE
8.09,2.19,0.98,7.73,50,TRUE
7.03,4.66,0.58,7.44,0,TRUE
7.96,1.72,0.64,6.96,0,TRUE
8.1,4.47,0.64,7.68,50,TRUE
6.51,3.23,0.9,6.68,25,TRUE
7.26,1.11,0.59,7.98,50,TRUE
8.64,1.65,0.68,6.83,50,TRUE
8.32,3.25,0.53,6.91,50,TRUE
6.87,1.78,0.57,7.78,0,TRUE
7.45,3.06,0.56,7.49,25,TRUE
8.47,4.23,0.83,6.51,0,TRUE
7.04,3.43,0.96,7.49,50,FALSE
7.6,2.64,0.83,6.55,0,TRUE
7.91,3.52,0.94,7.75,0,TRUE
7.69,2.38,0.67,6.83,0,TRUE
8.21,1.68,0.75,7.01,50,TRUE
6.69,2.73,0.76,7.84,25,TRUE
7.23,4.53,0.8,6.71,50,TRUE
7.28,2.46,0.79,6.65,50,TRUE
6.95,4.67,0.82,6.71,25,TRUE
8.06,3.03,0.84,6.62,50,TRUE
6.74,2.29,0.62,7.44,25,TRUE
8.02,1.06,0.54,7.56,25,TRUE
7.3,1.7,0.52,7.85,25,TRUE
12.93,3.7,0.77,7.16,25,FALSE
7.4,3.79,0.65,7.39,0,TRUE
7.08,3.74,0.79,7.87,25,TRUE
6.18,4.5,0.88,6.71,25,TRUE
6.16,4.01,0.68,7.41,25,TRUE
7.65,3.02,0.74,7.21,50,TRUE
6.81,2.22,0.95,7.6,25,TRUE
7.61,4.02,0.92,7.43,50,TRUE
6.7,3.07,0.55,7.9,0,TRUE
7.19,3.48,0.95,7.95,0,TRUE
8.28,1.66,0.67,7.67,0,TRUE
7.56,4.82,0.78,7.87,50,TRUE
7.3,1.42,0.78,7.09,50,TRUE
7.55,4.65,0.66,12.79,25,FALSE
7.58,1.71,0.7,7.24,25,TRUE
7.28,2.96,0.71,7.18,0,TRUE
8.27,2.57,0.99,6.91,0,TRUE
7.62,1.56,0.85,7.91,25,TRUE
8.82,4.7,0.84,6.95,50,TRUE
8.3,2.61,0.78,7.19,0,TRUE
8.53,4.88,0.76,7.44,50,TRUE
7.05,1.77,0.66,7.42,50,TRUE
8.62,2.62,0.7,7.43,50,TRUE
6.82,4.66,0.68,7.39,25,TRUE
7.89,1.11,0.55,6.93,25,TRUE
8.05,2.14,0.83,7.68,50,TRUE
11.68,1.02,0.95,7.66,25,FALSE
7.75,1.85,0.53,7.9,25,TRUE
7.16,1.51,0.69,6.57,50,TRUE
6.61,1.08,0.84,7.25,25,TRUE
7.4,2.31,0.7,6.85,25,TRUE
7.81,4.97,0.99,7.74,25,TRUE
7.77,4.53,0.98,6.9,25,TRUE
8.32,2.88,0.67,7.28,0,TRUE
7.52,3.09,0.54,6.77,25,TRUE
7.09,4.28,0.66,7.48,25,TRUE
8.95,2.93,0.59,7.22,50,TRUE
6.47,2.85,0.88,7.32,25,TRUE
6.72,3.22,0.97,6.78,25,TRUE
7.24,2.12,9.87,7.79,50,FALSE
8.37,4.89,0.53,6.6,50,TRUE
7.39,2.0,0.5,7.74,25,TRUE
8.0,2.65,0.82,7.4,25,TRUE
8.08,4.38,0.57,7.83,50,TRUE
7.54,3.45,0.59,7.25,50,TRUE
7.44,3.16,0.7,6.53,50,TRUE
8.25,4.01,0.6,7.13,50,TRUE
6.71,3.01,0.53,7.93,25,TRUE
7.11,3.04,0.84,6.74,25,TRUE
6.76,4.85,0.67,7.49,25,TRUE
6.34,3.33,0.81,7.22,25,TRUE
7.49,3.28,0.83,7.71,50,TRUE
7.1,2.02,0.89,14.11,50,FALSE
7.92,1.97,0.87,7.99,25,TRUE
6.86,3.28,0.63,6.57,25,TRUE
7.28,1.31,0.56,6.79,25,TRUE
7.2,1.25,0.85,7.81,0,TRUE
7.0,3.14,0.97,6.87,25,TRUE
7.95,1.89,0.59,7.69,50,TRUE
6.8,3.0,0.81,7.98,25,TRUE
8.8,3.77,0.97,7.2,50,TRUE
6.98,4.9,0.91,6.52,0,TRUE
6.16,4.7,0.9,6.99,25,TRUE
7.12,1.34,0.53,6.81,25,TRUE
6.58,4.48,0.59,7.69,0,TRUE
13.4,4.08,0.91,7.53,25,FALSE
7.81,4.95,0.92,7.68,50,TRUE
7.38,4.76,0.76,7.65,0,TRUE
7.98,4.36,0.99,7.88,0,TRUE
7.67,3.39,0.56,7.13,0,TRUE
7.72,1.39,0.67,7.34,50,TRUE
7.7,1.05,0.93,7.73,50,TRUE
7.17,1.52,0.62,7.32,50,TRUE
7.56,1.13,0.72,7.19,25,TRUE
7.19,3.79,0.86,6.95,25,TRUE
7.21,1.82,0.8,7.5,0,TRUE
7.2,2.04,0.55,6.56,0,TRUE
7.86,2.72,0.69,7.43,0,TRUE
11.85,4.71,0.77,6.98,50,FALSE
8.03,4.87,0.62,6.92,25,TRUE
7.68,4.09,0.94,7.21,50,TRUE
6.56,1.69,0.56,7.21,0,TRUE
6.1,3.15,0.82,6.88,25,TRUE
7.64,1.47,0.74,7.06,0,TRUE
8.17,3.4,0.91,6.93,50,TRUE
7.93,3.93,0.86,7.47,50,TRUE
8.2,3.25,0.75,7.4,0,TRUE
7.51,3.66,0.53,7.46,25,TRUE
7.69,2.36,0.94,7.29,0,TRUE
8.91,1.55,0.52,6.66,50,TRUE
8.44,2.99,0.62,7.18,0,TRUE
7.37,19.13,0.78,7.14,25,FALSE
6.72,1.48,0.63,7.0,0,TRUE
7.55,4.77,0.79,7.81,25,TRUE
8.2,2.01,0.79,7.38,0,TRUE
8.0,1.9,0.59,7.8,25,TRUE
6.92,2.74,0.66,6.77,0,TRUE
7.72,5.0,0.7,7.14,50,TRUE
7.1,3.25,0.85,7.25,50,TRUE
7.13,1.86,0.96,6.61,50,TRUE
8.67,1.59,0.56,7.69,50,TRUE
7.68,1.03,0.84,7.85,25,TRUE
6.77,4.68,0.95,7.29,0,TRUE
8.31,4.17,0.89,7.22,0,TRUE
12.47,4.55,0.8,6.92,25,FALSE
8.0,2.41,0.55,6.65,50,TRUE
7.49,2.44,0.66,6.95,50,TRUE
7.21,4.01,0.52,6.78,25,TRUE
7.23,4.61,0.74,7.14,25,TRUE
7.19,2.36,0.83,7.42,0,TRUE
7.09,4.79,0.65,7.49,0,TRUE
8.52,1.55,0.9,7.36,50,TRUE
7.44,1.93,0.85,7.86,0,TRUE
7.25,2.09,0.83,7.27,50,TRUE
8.03,4.69,0.59,7.81,25,TRUE
7.55,4.6,0.88,7.3,50,TRUE
7.28,1.98,0.98,6.67,0,TRUE
7.44,1.37,0.79,14.6,50,FALSE
7.25,1.69,0.78,7.49,0,TRUE
8.74,3.68,0.82,7.25,50,TRUE
7.89,1.5,0.52,7.42,0,TRUE
6.92,1.88,0.52,6.6,25,TRUE
8.15,1.97,0.63,7.56,50,TRUE
8.33,2.8,0.68,6.59,50,TRUE
7.51,2.21,0.57,6.59,50,TRUE
7.34,1.03,0.9,7.02,0,TRUE
8.34,2.05,0.97,7.26,50,TRUE
8.07,1.2,0.56,7.93,25,TRUE
7.02,1.62,0.9,6.7,25,TRUE
7.42,4.88,0.59,6.72,0,TRUE
7.21,4.03,6.62,7.37,0,FALSE
8.27,1.63,0.66,6.83,50,TRUE
6.5,4.88,0.54,6.98,25,TRUE
7.41,3.53,0.63,6.74,25,TRUE
7.79,1.52,0.84,7.9,50,TRUE
7.01,2.66,0.75,7.24,50,TRUE
7.04,1.32,1.0,6.95,0,TRUE
8.1,1.03,0.96,6.88,0,TRUE
7.57,4.79,0.83,7.56,0,TRUE
8.44,1.89,0.79,7.76,50,TRUE
7.72,3.17,0.62,6.78,25,TRUE
8.42,4.78,0.72,6.85,0,TRUE
6.51,1.52,0.9,6.79,25,TRUE
9.61,4.04,0.56,6.51,25,FALSE
8.05,2.35,0.8,7.89,0,TRUE
6.66,1.43,0.96,7.96,25,TRUE
7.34,3.21,0.51,6.94,25,TRUE
7.73,2.37,0.78,7.19,0,TRUE
7.89,3.93,0.82,6.82,25,TRUE
6.85,2.33,0.76,6.83,25,TRUE
8.25,1.15,0.52,6.76,50,TRUE
7.88,4.56,0.86,7.54,50,TRUE
8.15,2.91,0.93,6.7,0,TRUE
7.46,3.91,0.67,7.42,25,TRUE
8.13,1.33,0.88,7.81,50,TRUE
7.81,4.52,1.0,6.99,25,TRUE
6.56,15.34,0.77,7.99,25,FALSE
7.57,3.45,1.0,6.97,50,TRUE
7.42,4.57,0.69,6.7,50,TRUE
7.18,2.46,0.71,6.84,25,TRUE
7.08,4.17,0.98,6.94,25,TRUE
8.09,1.81,0.7,6.99,0,TRUE
6.96,3.43,0.58,7.33,0,TRUE
8.08,1.21,0.7,6.61,0,TRUE
7.19,3.96,0.96,7.83,25,TRUE
8.17,4.07,0.68,7.25,50,TRUE
7.58,3.05,0.66,7.26,25,TRUE
7.74,4.82,0.54,6.69,25,TRUE
6.98,1.91,0.82,6.91,25,TRUE
6.73,3.58,0.72,6.56,0,FALSE
6.61,2.35,0.71,7.21,0,TRUE
7.03,1.13,0.95,6.72,0,TRUE
7.61,4.59,0.9,7.49,25,TRUE
7.82,3.61,0.6,6.86,50,TRUE
7.33,4.7,0.61,7.64,25,TRUE
8.86,4.29,0.67,6.53,50,TRUE
8.63,1.51,0.98,7.19,50,TRUE
8.44,3.77,0.52,7.57,0,TRUE
6.9,1.48,0.79,6.89,25,TRUE
7.58,2.61,0.92,6.66,0,TRUE
7.49,4.64,0.5,6.9,50,TRUE
8.81,2.32,0.56,7.57,50,TRUE
7.46,4.5,0.57,6.9,50,FALSE
7.38,1.62,0.99,7.29,25,TRUE
7.92,2.21,0.52,6.78,50,TRUE
8.46,1.91,0.68,7.81,0,TRUE
8.33,3.41,0.74,7.88,0,TRUE
8.58,4.76,0.88,7.79,50,TRUE
7.68,2.05,0.76,7.09,50,TRUE
8.94,3.47,0.57,6.66,50,TRUE
8.6,2.44,0.55,6.89,50,TRUE
8.36,2.12,0.62,7.03,50,TRUE
7.68,3.79,0.74,6.92,25,TRUE
8.17,1.64,0.58,7.43,0,TRUE
7.23,4.92,0.58,6.71,50,TRUE
6.6,4.58,0.89,13.25,0,FALSE
8.64,3.87,0.79,7.91,50,TRUE
8.42,1.22,0.85,6.97,0,TRUE
8.85,1.13,0.6,6.75,50,TRUE
7.99,3.13,0.82,6.97,25,TRUE
7.31,4.74,0.86,7.42,0,TRUE
8.76,4.71,0.63,6.85,50,TRUE
8.24,3.18,0.86,7.5,0,TRUE
6.13,3.75,0.88,7.5,25,TRUE
8.51,2.06,0.73,7.16,50,TRUE
6.91,4.51,0.62,7.17,25,TRUE
6.21,4.69,0.58,7.01,25,TRUE
7.75,2.01,0.52,7.45,50,TRUE
7.21,2.95,0.92,7.9,0,FALSE
7.89,3.84,0.55,7.29,0,TRUE
7.33,2.97,0.77,7.19,50,TRUE
7.4,2.72,0.81,7.93,0,TRUE
7.38,3.61,0.79,6.51,25,TRUE
6.23,2.73,0.9,6.93,25,TRUE
8.44,4.0,0.69,6.73,0,TRUE
8.08,4.64,0.92,6.84,25,TRUE
8.09,4.82,0.87,7.55,50,TRUE
7.48,1.07,0.98,7.17,50,TRUE
6.33,2.48,0.83,7.36,25,TRUE
8.24,4.51,0.57,7.02,0,TRUE
8.5,3.02,0.88,7.06,50,TRUE
7.29,3.62,9.49,6.92,0,FALSE
8.42,2.91,0.54,7.59,0,TRUE
7.03,3.26,0.54,7.3,0,TRUE
7.3,1.94,1.0,6.68,25,TRUE
6.64,4.37,0.93,7.82,0,TRUE
7.34,4.4,0.65,7.64,0,TRUE
7.38,2.94,0.58,7.32,0,TRUE
8.42,4.04,0.97,7.87,50,TRUE
6.65,1.95,0.89,7.29,25,TRUE
8.38,4.78,0.81,8.0,50,TRUE
7.5,3.82,0.82,7.7,50,TRUE
8.27,3.74,0.58,7.74,0,TRUE
7.71,3.64,0.55,7.93,50,TRUE
10.63,3.74,0.52,7.92,0,FALSE
7.7,4.68,0.85,6.66,25,TRUE
7.72,3.4,0.73,7.69,25,TRUE
7.93,2.07,0.71,7.25,0,TRUE
6.25,1.59,0.91,6.95,25,TRUE
7.38,2.39,1.0,7.25,0,TRUE
7.94,4.23,0.74,7.11,50,TRUE
8.17,2.09,0.73,7.19,50,TRUE
8.51,2.52,0.57,6.51,50,TRUE
6.92,4.12,0.71,6.51,0,TRUE
7.23,1.66,0.67,7.28,25,TRUE
6.39,4.49,0.67,7.39,25,TRUE
7.41,4.17,0.54,7.2,50,TRUE
7.37,17.61,0.81,6.61,25,FALSE
8.19,2.11,0.77,6.54,50,TRUE
8.33,4.83,0.98,7.91,0,TRUE
8.77,1.73,0.89,7.76,50,TRUE
7.4,1.15,0.56,7.32,0,TRUE
7.71,2.05,0.77,7.25,0,TRUE
8.05,2.53,0.8,6.63,50,TRUE
